"Player Name","Week","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Alvin Kamara","17","23","107","0","1","3","0","10"
"Alvin Kamara","16","16","73","0","1","7","0","7"
"Alvin Kamara","15","20","76","1","2","34","0","16"
"Alvin Kamara","14","21","91","0","2","13","0","10"
"Alvin Kamara","13","12","26","0","2","11","0","3"
"Alvin Kamara","12","7","13","0","6","37","0","0"
"Alvin Kamara","11","12","42","0","4","47","0","8"
"Alvin Kamara","10","8","26","0","3","19","0","3"
"Alvin Kamara","9","9","30","0","3","32","0","6"
"Alvin Kamara","8","18","62","1","9","96","2","33"
"Alvin Kamara","7","11","49","0","7","56","0","9"
"Alvin Kamara","6","19","99","0","6","25","0","11"
"Alvin Kamara","5","23","103","0","6","91","0","17"
"Alvin Kamara","4","0","0","0","0","0","0","0"
"Alvin Kamara","3","15","61","0","2","12","0","5"
"Alvin Kamara","2","0","0","0","0","0","0","0"
"Alvin Kamara","1","9","39","0","3","7","0","3"
"Joe Mixon","16","11","27","1","5","41","0","12"
"Joe Mixon","15","16","65","0","7","43","0","10"
"Joe Mixon","14","11","21","0","5","33","0","5"
"Joe Mixon","13","14","96","0","2","10","0","10"
"Joe Mixon","12","0","0","0","0","0","0","0"
"Joe Mixon","11","0","0","0","0","0","0","0"
"Joe Mixon","10","7","20","0","3","42","0","6"
"Joe Mixon","9","22","153","4","4","58","1","50"
"Joe Mixon","8","8","27","0","7","32","0","5"
"Joe Mixon","7","17","58","1","3","33","0","14"
"Joe Mixon","6","8","45","0","4","23","1","12"
"Joe Mixon","5","14","78","0","3","10","0","8"
"Joe Mixon","4","24","61","1","4","13","0","13"
"Joe Mixon","3","12","24","0","3","14","0","3"
"Joe Mixon","2","19","57","0","3","26","0","7"
"Joe Mixon","1","27","82","0","7","63","0","14"
"Jonathan Taylor","14","0","0","0","1","13","0","1"
"Jonathan Taylor","13","21","82","0","3","21","0","10"
"Jonathan Taylor","12","20","86","1","3","12","0","15"
"Jonathan Taylor","11","22","84","1","3","10","0","13"
"Jonathan Taylor","10","22","147","1","2","16","0","21"
"Jonathan Taylor","9","0","0","0","0","0","0","0"
"Jonathan Taylor","8","16","76","0","0","0","0","5"
"Jonathan Taylor","7","10","58","0","7","27","0","7"
"Jonathan Taylor","6","0","0","0","0","0","0","0"
"Jonathan Taylor","5","0","0","0","0","0","0","0"
"Jonathan Taylor","4","20","42","0","1","1","0","2"
"Jonathan Taylor","3","21","71","0","3","20","0","9"
"Jonathan Taylor","2","9","54","0","1","9","0","5"
"Jonathan Taylor","1","31","161","1","4","14","0","23"
"Jaylen Warren","17","6","36","0","3","7","0","3"
"Jaylen Warren","16","12","76","0","3","22","0","9"
"Jaylen Warren","15","6","23","0","1","7","0","2"
"Jaylen Warren","14","11","38","1","1","11","0","10"
"Jaylen Warren","13","3","11","0","2","16","0","2"
"Jaylen Warren","12","1","5","0","2","14","0","1"
"Jaylen Warren","11","0","0","0","0","0","0","0"
"Jaylen Warren","10","0","0","0","1","9","0","0"
"Jaylen Warren","9","9","37","0","3","40","0","7"
"Jaylen Warren","8","6","50","0","3","25","0","7"
"Jaylen Warren","7","2","7","0","2","17","0","1"
"Jaylen Warren","6","2","2","0","0","0","0","0"
"Jaylen Warren","5","5","24","0","4","39","0","5"
"Jaylen Warren","4","3","18","0","1","4","0","1"
"Jaylen Warren","3","4","30","0","1","3","0","3"
"Jaylen Warren","2","4","15","0","1","0","0","1"
"Jaylen Warren","1","3","7","0","0","0","0","0"
"Rachaad White","17","4","15","0","0","0","0","1"
"Rachaad White","16","11","22","0","5","26","0","4"
"Rachaad White","15","7","36","0","4","17","1","10"
"Rachaad White","14","11","38","0","1","5","0","3"
"Rachaad White","13","13","56","0","5","21","0","5"
"Rachaad White","12","9","28","0","6","41","1","10"
"Rachaad White","11","14","64","0","9","45","0","10"
"Rachaad White","10","22","105","0","0","0","0","10"
"Rachaad White","9","8","27","0","3","7","0","2"
"Rachaad White","8","4","19","0","3","24","0","3"
"Rachaad White","7","6","24","0","1","8","0","2"
"Rachaad White","6","4","12","0","3","11","0","2"
"Rachaad White","5","5","14","0","3","28","0","3"
"Rachaad White","4","3","6","1","5","50","0","9"
"Rachaad White","3","0","0","0","0","0","0","0"
"Rachaad White","2","2","1","0","0","0","0","0"
"Rachaad White","1","6","14","0","2","7","0","1"
"Raheem Mostert","17","11","71","0","2","10","0","7"
"Raheem Mostert","16","9","29","0","8","62","1","14"
"Raheem Mostert","15","8","45","0","2","4","0","2"
"Raheem Mostert","14","17","136","0","1","20","0","15"
"Raheem Mostert","13","11","37","0","1","7","0","3"
"Raheem Mostert","12","7","30","0","0","0","0","3"
"Raheem Mostert","11","0","0","0","0","0","0","0"
"Raheem Mostert","10","8","65","1","4","22","0","14"
"Raheem Mostert","9","9","26","1","0","0","0","8"
"Raheem Mostert","8","14","64","0","1","3","0","6"
"Raheem Mostert","7","16","79","0","4","30","1","16"
"Raheem Mostert","6","14","49","0","1","1","0","4"
"Raheem Mostert","5","18","113","1","1","9","0","17"
"Raheem Mostert","4","15","69","0","2","12","0","7"
"Raheem Mostert","3","8","11","0","0","0","0","1"
"Raheem Mostert","2","11","51","0","3","28","0","7"
"Raheem Mostert","1","5","16","0","1","16","0","2"
"Kyren Williams","10","0","0","0","0","0","0","0"
"Kyren Williams","9","2","6","0","0","0","0","0"
"Kyren Williams","8","6","18","0","1","3","0","1"
"Kyren Williams","7","2","7","0","0","0","0","0"
"Kyren Williams","6","3","19","0","1","10","0","2"
"Kyren Williams","5","3","9","0","0","0","0","0"
"Kyren Williams","4","11","35","0","3","25","0","5"
"Kyren Williams","3","7","36","0","1","8","0","3"
"Kyren Williams","2","1","9","0","3","30","0","3"
"Kyren Williams","1","0","0","0","0","0","0","0"
"Jamaal Williams","17","16","72","2","0","0","0","19"
"Jamaal Williams","16","22","144","1","1","13","0","21"
"Jamaal Williams","15","7","11","0","2","3","0","1"
"Jamaal Williams","14","13","33","0","0","0","0","3"
"Jamaal Williams","13","16","37","0","0","0","0","3"
"Jamaal Williams","12","11","35","1","0","0","0","9"
"Jamaal Williams","11","18","66","1","0","0","0","10"
"Jamaal Williams","10","17","64","3","0","0","0","24"
"Jamaal Williams","9","16","59","1","0","0","0","11"
"Jamaal Williams","8","24","81","0","0","0","0","10"
"Jamaal Williams","7","10","53","2","3","23","0","19"
"Jamaal Williams","6","15","79","0","1","4","0","5"
"Jamaal Williams","5","15","56","0","0","0","0","5"
"Jamaal Williams","4","19","108","2","1","1","0","22"
"Jamaal Williams","3","20","87","2","2","20","0","22"
"Jamaal Williams","2","12","53","0","1","7","0","5"
"Jamaal Williams","1","11","28","2","1","2","0","14"
"James Conner","17","0","0","0","0","0","0","0"
"James Conner","16","16","79","0","3","31","0","10"
"James Conner","15","15","79","1","7","41","0","17"
"James Conner","14","16","63","1","3","28","0","14"
"James Conner","13","15","85","1","6","29","0","16"
"James Conner","12","25","120","0","3","20","1","18"
"James Conner","11","14","42","1","2","12","0","11"
"James Conner","10","21","69","2","3","17","0","19"
"James Conner","9","7","45","0","5","19","0","5"
"James Conner","8","0","0","0","0","0","0","0"
"James Conner","7","0","0","0","0","0","0","0"
"James Conner","6","0","0","0","0","0","0","0"
"James Conner","5","9","55","0","1","8","0","5"
"James Conner","4","15","55","0","3","22","0","7"
"James Conner","3","13","39","0","3","18","0","4"
"James Conner","2","7","25","0","2","26","0","4"
"James Conner","1","10","26","1","5","29","0","10"
"Kareem Hunt","17","4","13","0","3","15","0","2"
"Kareem Hunt","16","2","0","0","1","1","0","0"
"Kareem Hunt","15","7","8","0","3","14","0","1"
"Kareem Hunt","14","4","24","0","1","3","0","2"
"Kareem Hunt","13","4","6","0","2","6","0","0"
"Kareem Hunt","12","9","56","0","2","18","0","6"
"Kareem Hunt","11","5","15","0","1","6","0","1"
"Kareem Hunt","10","5","32","0","2","22","0","5"
"Kareem Hunt","9","6","9","0","1","10","0","1"
"Kareem Hunt","8","11","42","0","4","30","0","7"
"Kareem Hunt","7","5","4","1","1","4","0","6"
"Kareem Hunt","6","4","12","0","0","0","0","1"
"Kareem Hunt","5","11","47","1","3","10","0","11"
"Kareem Hunt","4","10","49","0","2","19","0","5"
"Kareem Hunt","3","12","47","0","3","14","0","5"
"Kareem Hunt","2","13","58","0","2","16","0","6"
"Kareem Hunt","1","11","46","1","4","24","1","18"
"Damien Harris","17","13","48","0","1","4","0","4"
"Damien Harris","16","9","31","0","3","18","0","4"
"Damien Harris","15","0","0","0","0","0","0","0"
"Damien Harris","14","0","0","0","0","0","0","0"
"Damien Harris","13","0","0","0","0","0","0","0"
"Damien Harris","12","0","0","0","0","0","0","0"
"Damien Harris","11","5","16","0","0","0","0","1"
"Damien Harris","10","8","65","0","2","28","0","8"
"Damien Harris","9","0","0","0","0","0","0","0"
"Damien Harris","8","11","37","0","2","15","0","4"
"Damien Harris","7","3","8","0","1","2","0","0"
"Damien Harris","6","0","0","0","0","0","0","0"
"Damien Harris","5","4","11","0","1","1","0","1"
"Damien Harris","4","18","86","1","1","2","0","14"
"Damien Harris","3","11","41","1","2","5","0","10"
"Damien Harris","2","15","71","1","2","16","0","14"
"Damien Harris","1","9","48","0","2","10","0","5"
"Jerome Ford","13","0","0","0","0","0","0","0"
"Jerome Ford","12","5","9","0","0","0","0","0"
"Jerome Ford","11","0","0","0","0","0","0","0"
"Jerome Ford","10","0","0","0","0","0","0","0"
"Jerome Ford","9","0","0","0","0","0","0","0"
"Jerome Ford","8","3","3","0","0","0","0","0"
"Jerome Ford","7","0","0","0","0","0","0","0"
"Jerome Ford","6","0","0","0","0","0","0","0"
"Jerome Ford","5","0","0","0","0","0","0","0"
"Jerome Ford","4","0","0","0","0","0","0","0"
"Jerome Ford","3","0","0","0","0","0","0","0"
"Jerome Ford","2","0","0","0","0","0","0","0"
"Jerome Ford","1","0","0","0","0","0","0","0"
"Jahmyr Gibbs","11","17","76","1","2","8","0","0"
"Jahmyr Gibbs","10","6","3","0","1","5","0","0"
"Jahmyr Gibbs","9","15","99","0","8","64","0","0"
"Jahmyr Gibbs","8","10","37","1","4","33","0","0"
"Jahmyr Gibbs","7","24","103","3","5","48","0","0"
"Jahmyr Gibbs","6","21","154","0","3","13","0","0"
"Jahmyr Gibbs","5","18","206","2","2","20","0","0"
"Jahmyr Gibbs","4","3","21","0","3","43","1","0"
"Jahmyr Gibbs","3","4","36","0","4","65","1","0"
"Jahmyr Gibbs","2","9","22","0","9","74","1","0"
"Jahmyr Gibbs","1","9","93","0","1","5","0","0"
"Josh Jacobs","17","17","45","0","2","5","0","4"
"Josh Jacobs","16","17","69","1","4","26","0","14"
"Josh Jacobs","15","15","44","0","1","6","0","4"
"Josh Jacobs","14","22","93","0","2","17","0","10"
"Josh Jacobs","13","27","99","1","2","15","0","16"
"Josh Jacobs","12","26","144","1","2","6","0","18"
"Josh Jacobs","11","33","229","2","6","74","0","41"
"Josh Jacobs","10","24","109","0","3","51","0","15"
"Josh Jacobs","9","21","78","1","6","28","0","15"
"Josh Jacobs","8","17","67","0","3","20","0","8"
"Josh Jacobs","7","10","43","0","2","11","0","5"
"Josh Jacobs","6","20","143","3","3","12","0","33"
"Josh Jacobs","5","21","154","1","5","39","0","24"
"Josh Jacobs","4","28","144","2","5","31","0","29"
"Josh Jacobs","3","13","66","0","5","31","0","9"
"Josh Jacobs","2","19","69","0","1","12","0","7"
"Josh Jacobs","1","10","57","0","1","16","0","6"
"Nick Chubb","17","12","77","0","5","45","1","17"
"Nick Chubb","16","14","104","0","1","12","0","11"
"Nick Chubb","15","24","92","0","1","10","0","10"
"Nick Chubb","14","21","99","0","0","0","0","9"
"Nick Chubb","13","14","34","0","3","20","0","5"
"Nick Chubb","12","17","80","0","0","0","0","8"
"Nick Chubb","11","26","116","1","1","16","0","18"
"Nick Chubb","10","14","19","0","3","48","0","5"
"Nick Chubb","9","11","63","1","3","18","0","11"
"Nick Chubb","8","23","101","2","1","3","0","24"
"Nick Chubb","7","16","91","1","2","16","0","16"
"Nick Chubb","6","12","56","0","1","14","0","6"
"Nick Chubb","5","17","134","2","0","0","0","25"
"Nick Chubb","4","19","118","1","2","9","0","17"
"Nick Chubb","3","23","113","1","0","0","0","17"
"Nick Chubb","2","17","87","3","3","26","0","28"
"Nick Chubb","1","22","141","0","1","2","0","14"
"Rashaad Penny","5","8","54","0","0","0","0","5"
"Rashaad Penny","4","17","151","2","1","6","0","27"
"Rashaad Penny","3","14","66","0","1","3","0","6"
"Rashaad Penny","2","6","15","0","0","0","0","1"
"Rashaad Penny","1","12","60","0","2","7","0","6"
"Tyjae Spears","13","22","199","1","1","2","0","0"
"Tyjae Spears","12","35","181","2","1","17","0","0"
"Tyjae Spears","11","13","121","2","1","5","1","0"
"Tyjae Spears","10","8","130","0","1","9","0","0"
"Tyjae Spears","9","14","157","1","1","6","0","0"
"Tyjae Spears","8","24","125","1","1","8","0","0"
"Tyjae Spears","7","18","151","2","0","0","0","0"
"Tyjae Spears","6","16","53","0","2","4","0","0"
"Tyjae Spears","5","14","54","0","6","85","1","0"
"Tyjae Spears","4","22","114","2","5","74","0","0"
"Tyjae Spears","3","9","26","1","0","0","0","0"
"Tyjae Spears","2","5","8","0","0","0","0","0"
"Tyjae Spears","1","12","57","3","2","32","0","0"
"Deon Jackson","17","8","35","0","6","75","0","10"
"Deon Jackson","16","3","10","0","0","0","0","1"
"Deon Jackson","15","0","0","0","3","9","0","0"
"Deon Jackson","14","13","55","0","1","1","1","9"
"Deon Jackson","13","2","6","0","0","0","0","0"
"Deon Jackson","12","0","0","0","0","0","0","0"
"Deon Jackson","11","1","7","0","4","3","0","0"
"Deon Jackson","10","0","0","0","0","0","0","0"
"Deon Jackson","9","11","23","0","2","13","0","3"
"Deon Jackson","8","1","4","0","0","0","0","0"
"Deon Jackson","7","2","3","0","0","0","0","0"
"Deon Jackson","6","12","42","1","10","79","0","17"
"Deon Jackson","5","13","62","0","4","29","0","8"
"Deon Jackson","4","0","0","0","0","0","0","0"
"Deon Jackson","3","0","0","0","0","0","0","0"
"Deon Jackson","2","2","3","0","0","0","0","0"
"Deon Jackson","1","0","0","0","0","0","0","0"
"Brian Robinson Jr","13","0","0","0","0","0","0","0"
"Brian Robinson Jr","12","24","87","0","0","0","0","8"
"Brian Robinson Jr","11","22","58","0","0","0","0","5"
"Brian Robinson Jr","10","12","89","0","1","18","0","9"
"Brian Robinson Jr","9","21","96","0","2","15","0","10"
"Brian Robinson Jr","8","18","105","0","2","20","1","18"
"Brian Robinson Jr","7","15","57","0","0","0","0","5"
"Brian Robinson Jr","6","26","86","1","0","0","0","14"
"Brian Robinson Jr","5","13","44","0","2","6","0","4"
"Brian Robinson Jr","4","8","20","0","0","0","0","2"
"Brian Robinson Jr","3","20","73","0","2","13","0","8"
"Brian Robinson Jr","2","17","60","1","0","0","0","12"
"Brian Robinson Jr","1","9","22","0","0","0","0","2"
"Derrick Henry","17","30","109","0","1","19","0","11"
"Derrick Henry","16","0","0","0","0","0","0","0"
"Derrick Henry","15","23","126","1","2","0","0","16"
"Derrick Henry","14","21","104","1","4","59","0","21"
"Derrick Henry","13","17","121","1","3","34","0","17"
"Derrick Henry","12","11","30","0","2","8","0","3"
"Derrick Henry","11","17","38","0","3","79","0","10"
"Derrick Henry","10","28","87","1","2","45","0","24"
"Derrick Henry","9","19","53","0","2","14","0","6"
"Derrick Henry","8","17","115","2","0","0","0","23"
"Derrick Henry","7","32","219","2","1","9","0","33"
"Derrick Henry","6","30","128","0","3","10","0","13"
"Derrick Henry","5","28","102","2","2","30","0","25"
"Derrick Henry","4","22","114","1","3","33","0","20"
"Derrick Henry","3","20","85","1","5","58","0","19"
"Derrick Henry","2","13","25","1","0","0","0","8"
"Derrick Henry","1","21","82","0","0","0","0","8"
"Aaron Jones","17","12","48","0","3","20","0","4"
"Aaron Jones","16","14","111","0","2","2","0","11"
"Aaron Jones","15","6","25","0","2","9","0","2"
"Aaron Jones","14","17","90","0","4","36","1","16"
"Aaron Jones","13","9","26","0","5","24","0","4"
"Aaron Jones","12","12","43","0","3","56","1","15"
"Aaron Jones","11","12","40","0","6","20","0","8"
"Aaron Jones","10","24","138","1","2","18","0","20"
"Aaron Jones","9","9","25","0","2","20","0","4"
"Aaron Jones","8","20","143","0","4","14","0","15"
"Aaron Jones","7","8","23","0","9","53","2","19"
"Aaron Jones","6","9","19","0","3","25","0","3"
"Aaron Jones","5","13","63","0","2","17","0","7"
"Aaron Jones","4","16","110","0","3","5","0","11"
"Aaron Jones","3","12","36","0","3","11","0","2"
"Aaron Jones","2","15","132","1","3","38","1","28"
"Aaron Jones","1","5","49","0","3","27","0","6"
"Dandre Swift","17","6","25","0","7","61","0","8"
"Dandre Swift","16","11","78","1","4","39","1","22"
"Dandre Swift","15","4","12","0","1","13","0","2"
"Dandre Swift","14","8","52","0","5","23","0","7"
"Dandre Swift","13","6","21","0","3","18","0","3"
"Dandre Swift","12","14","62","1","4","49","0","16"
"Dandre Swift","11","5","19","0","4","24","0","5"
"Dandre Swift","10","5","20","1","3","12","0","9"
"Dandre Swift","9","6","6","1","1","6","0","6"
"Dandre Swift","8","2","10","0","3","40","0","5"
"Dandre Swift","7","5","6","0","5","27","1","8"
"Dandre Swift","6","0","0","0","0","0","0","0"
"Dandre Swift","5","0","0","0","0","0","0","0"
"Dandre Swift","4","0","0","0","0","0","0","0"
"Dandre Swift","3","7","31","0","3","15","0","4"
"Dandre Swift","2","5","56","0","2","31","1","14"
"Dandre Swift","1","15","144","1","3","31","0","23"
"Austin Ekeler","17","11","34","0","4","36","0","4"
"Austin Ekeler","16","10","122","2","4","39","0","27"
"Austin Ekeler","15","18","67","2","4","12","0","19"
"Austin Ekeler","14","12","58","1","2","12","0","12"
