"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","IMG","Drafted"
"Brandon Aiyuk","WR","27","#11 WR / San Francisco 49ers / EXP: 4YRS","San Francisco 49ers","6-0","200lbs","25","Arizona St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/2967489.png?width=160","False"
"Jayden Reed","WR","0","#11 WR / Green Bay Packers / EXP: YRS","Green Bay Packers","5-11","187lbs","23","Michigan St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/2967762.png?width=160","False"
"Terry Mclaurin","WR","35","#17 WR / Washington Commanders / EXP: 5YRS","Washington Commanders","6-0","210lbs","27","Ohio State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2139279.png?width=160","False"
"Christian Watson","WR","16","#9 WR / Green Bay Packers / EXP: 2YRS","Green Bay Packers","6-4","208lbs","24","N. Dakota St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/2869806.png?width=160","False"
"Nathaniel Dell","WR","0","#13 WR / Houston Texans / EXP: YRS","Houston Texans","5-10","165lbs","23","Houston","https://sportshub.cbsistatic.com/i/sports/player/headshot/2963970.png?width=160","False"
"Darnell Mooney","WR","0","#11 WR / Chicago Bears / EXP: 4YRS","Chicago Bears","5-11","174lbs","25","Tulane","https://sportshub.cbsistatic.com/i/sports/player/headshot/2240651.png?width=160","False"
"Deandre Hopkins","WR","21","#10 WR / Tennessee Titans / EXP: 10YRS","Tennessee Titans","6-1","212lbs","31","Clemson","https://sportshub.cbsistatic.com/i/sports/player/headshot/1737078.png?width=160","False"
"Christian Kirk","WR","25","#13 WR / Jacksonville Jaguars / EXP: 6YRS","Jacksonville Jaguars","5-11","200lbs","26","Texas A&amp;M","https://sportshub.cbsistatic.com/i/sports/player/headshot/2180820.png?width=160","False"
"Gabe Davis","WR","30","#13 WR / Buffalo Bills / EXP: 4YRS","Buffalo Bills","6-2","225lbs","24","UCF","https://sportshub.cbsistatic.com/i/sports/player/headshot/2804813.png?width=160","False"
"Adam Thielen","WR","54","#19 WR / Carolina Panthers / EXP: 10YRS","Carolina Panthers","6-2","200lbs","33","Minnesota State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2059362.png?width=160","False"
"Rashee Rice","WR","0","#4 WR / Kansas City Chiefs / EXP: YRS","Kansas City Chiefs","6-1","203lbs","23","SMU","https://sportshub.cbsistatic.com/i/sports/player/headshot/3124978.png?width=160","False"
"Mike Williams","WR","29","#84 WR / Los Angeles Chargers / EXP: 7YRS","Los Angeles Chargers","6-4","218lbs","28","Clemson","https://sportshub.cbsistatic.com/i/sports/player/headshot/2082516.png?width=160","False"
"Juju Smithschuster","WR","49","#7 WR / New England Patriots / EXP: 7YRS","New England Patriots","6-1","215lbs","26","USC","https://sportshub.cbsistatic.com/i/sports/player/headshot/2139620.png?width=160","False"
"Jonathan Mingo","WR","0","#15 WR / Carolina Panthers / EXP: YRS","Carolina Panthers","6-2","225lbs","22","Ole Miss","https://sportshub.cbsistatic.com/i/sports/player/headshot/3126905.png?width=160","False"
"Calvin Ridley","WR","15","#0 WR / Jacksonville Jaguars / EXP: 5YRS","Jacksonville Jaguars","6-1","190lbs","28","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2186328.png?width=160","False"
"Isaiah Hodgins","WR","0","#18 WR / New York Giants / EXP: 3YRS","New York Giants","6-3","201lbs","24","Oregon State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2783899.png?width=160","False"
"Deebo Samuel","WR","17","#19 WR / San Francisco 49ers / EXP: 5YRS","San Francisco 49ers","6-0","215lbs","27","South Carolina","https://sportshub.cbsistatic.com/i/sports/player/headshot/2139735.png?width=160","False"
"Tyler Lockett","WR","26","#16 WR / Seattle Seahawks / EXP: 9YRS","Seattle Seahawks","5-10","182lbs","30","Kansas State","https://sportshub.cbsistatic.com/i/sports/player/headshot/1860834.png?width=160","False"
"Stefon Diggs","WR","5","#14 WR / Buffalo Bills / EXP: 9YRS","Buffalo Bills","6-0","191lbs","29","Maryland","https://sportshub.cbsistatic.com/i/sports/player/headshot/2000038.png?width=160","False"
"Keenan Allen","WR","23","#13 WR / Los Angeles Chargers / EXP: 11YRS","Los Angeles Chargers","6-2","211lbs","31","California","https://sportshub.cbsistatic.com/i/sports/player/headshot/1737096.png?width=160","False"
"Brandin Cooks","WR","41","#3 WR / Dallas Cowboys / EXP: 10YRS","Dallas Cowboys","5-10","193lbs","29","Oregon State","https://sportshub.cbsistatic.com/i/sports/player/headshot/1880880.png?width=160","False"
"Nico Collins","WR","44","#12 WR / Houston Texans / EXP: 3YRS","Houston Texans","6-4","215lbs","24","Michigan","https://sportshub.cbsistatic.com/i/sports/player/headshot/2878193.png?width=160","False"
"Van Jefferson","WR","0","#12 WR / Los Angeles Rams / EXP: 4YRS","Los Angeles Rams","6-1","200lbs","27","Florida","https://sportshub.cbsistatic.com/i/sports/player/headshot/2186342.png?width=160","False"
"Jaxon Smithnjigba","WR","0","#11 WR / Seattle Seahawks / EXP: YRS","Seattle Seahawks","6-0","197lbs","21","Ohio State","https://sportshub.cbsistatic.com/i/sports/player/headshot/3162959.png?width=160","False"
"Jahan Dotson","WR","22","#1 WR / Washington Commanders / EXP: 2YRS","Washington Commanders","5-11","182lbs","23","Penn State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2962944.png?width=160","False"
"Diontae Johnson","WR","28","#18 WR / Pittsburgh Steelers / EXP: 5YRS","Pittsburgh Steelers","5-10","183lbs","27","Toledo","https://sportshub.cbsistatic.com/i/sports/player/headshot/2194164.png?width=160","False"
"Odell Beckham Jr","WR","53","#3 WR / Baltimore Ravens / EXP: 9YRS","Baltimore Ravens","5-11","200lbs","30","LSU","https://sportshub.cbsistatic.com/i/sports/player/headshot/1824823.png?width=160","False"
"Amari Cooper","WR","19","#2 WR / Cleveland Browns / EXP: 9YRS","Cleveland Browns","6-1","210lbs","29","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/1984220.png?width=160","False"
"Chris Godwin","WR","32","#14 WR / Tampa Bay Buccaneers / EXP: 7YRS","Tampa Bay Buccaneers","6-1","209lbs","27","Penn State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2818150.png?width=160","False"
"Cooper Kupp","WR","4","#10 WR / Los Angeles Rams / EXP: 7YRS","Los Angeles Rams","6-2","208lbs","30","E. Washington","https://sportshub.cbsistatic.com/i/sports/player/headshot/2006951.png?width=160","False"
"Kadarius Toney","WR","52","#19 WR / Kansas City Chiefs / EXP: 3YRS","Kansas City Chiefs","6-0","193lbs","24","Florida","https://sportshub.cbsistatic.com/i/sports/player/headshot/2767487.png?width=160","False"
"Jamarr Chase","WR","2","#1 WR / Cincinnati Bengals / EXP: 3YRS","Cincinnati Bengals","6-0","201lbs","23","LSU","https://sportshub.cbsistatic.com/i/sports/player/headshot/2966320.png?width=160","False"
"Zay Flowers","WR","0","#4 WR / Baltimore Ravens / EXP: YRS","Baltimore Ravens","5-9","182lbs","22","Boston College","https://sportshub.cbsistatic.com/i/sports/player/headshot/3127049.png?width=160","False"
"Chris Olave","WR","14","#12 WR / New Orleans Saints / EXP: 2YRS","New Orleans Saints","6-0","187lbs","23","Ohio State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2963666.png?width=160","False"
"Amonra St Brown","WR","9","#14 WR / Detroit Lions / EXP: 3YRS","Detroit Lions","6-0","202lbs","23","USC","https://sportshub.cbsistatic.com/i/sports/player/headshot/2967690.png?width=160","False"
"Quentin Johnston","WR","0","#1 WR / Los Angeles Chargers / EXP: YRS","Los Angeles Chargers","6-4","215lbs","21","TCU","https://sportshub.cbsistatic.com/i/sports/player/headshot/3162609.png?width=160","False"
"Drake London","WR","24","#5 WR / Atlanta Falcons / EXP: 2YRS","Atlanta Falcons","6-4","219lbs","22","USC","https://sportshub.cbsistatic.com/i/sports/player/headshot/3127902.png?width=160","False"
"Justin Jefferson","WR","1","#18 WR / Minnesota Vikings / EXP: 4YRS","Minnesota Vikings","6-1","195lbs","24","LSU","https://sportshub.cbsistatic.com/i/sports/player/headshot/2871343.png?width=160","False"
"George Pickens","WR","33","#14 WR / Pittsburgh Steelers / EXP: 2YRS","Pittsburgh Steelers","6-3","200lbs","22","Georgia","https://sportshub.cbsistatic.com/i/sports/player/headshot/3123212.png?width=160","False"
"Romeo Doubs","WR","42","#87 WR / Green Bay Packers / EXP: 2YRS","Green Bay Packers","6-2","204lbs","23","Nevada","https://sportshub.cbsistatic.com/i/sports/player/headshot/2961886.png?width=160","False"
"Treylon Burks","WR","46","#16 WR / Tennessee Titans / EXP: 2YRS","Tennessee Titans","6-2","225lbs","23","Arkansas","https://sportshub.cbsistatic.com/i/sports/player/headshot/3122944.png?width=160","False"
"Devonta Smith","WR","12","#6 WR / Philadelphia Eagles / EXP: 3YRS","Philadelphia Eagles","6-0","170lbs","24","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2866975.png?width=160","False"
"Jameson Williams","WR","0","#9 WR / Detroit Lions / EXP: 2YRS","Detroit Lions","6-1","180lbs","22","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/3125968.png?width=160","False"
"Elijah Moore","WR","45","#8 WR / Cleveland Browns / EXP: 3YRS","Cleveland Browns","5-10","180lbs","23","Ole Miss","https://sportshub.cbsistatic.com/i/sports/player/headshot/2963569.png?width=160","False"
"Michael Pittman","WR","47","#11 WR / Indianapolis Colts / EXP: 4YRS","Indianapolis Colts","6-4","223lbs","25","USC","https://sportshub.cbsistatic.com/i/sports/player/headshot/2240188.png?width=160","False"
"Davante Adams","WR","10","#17 WR / Las Vegas Raiders / EXP: 10YRS","Las Vegas Raiders","6-1","215lbs","30","Fresno St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/1893167.png?width=160","False"
"Dk Metcalf","WR","20","#14 WR / Seattle Seahawks / EXP: 5YRS","Seattle Seahawks","6-4","235lbs","25","Ole Miss","https://sportshub.cbsistatic.com/i/sports/player/headshot/2260185.png?width=160","False"
"Garrett Wilson","WR","8","#17 WR / New York Jets / EXP: 2YRS","New York Jets","6-0","183lbs","23","Ohio State","https://sportshub.cbsistatic.com/i/sports/player/headshot/3123864.png?width=160","False"
"Tee Higgins","WR","13","#5 WR / Cincinnati Bengals / EXP: 4YRS","Cincinnati Bengals","6-4","219lbs","24","Clemson","https://sportshub.cbsistatic.com/i/sports/player/headshot/2809208.png?width=160","False"
"Marquise Brown","WR","38","#2 WR / Arizona Cardinals / EXP: 5YRS","Arizona Cardinals","5-9","180lbs","26","Oklahoma","https://sportshub.cbsistatic.com/i/sports/player/headshot/2804128.png?width=160","False"
"Jakobi Meyers","WR","57","#16 WR / Las Vegas Raiders / EXP: 5YRS","Las Vegas Raiders","6-2","200lbs","26","NC State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2183835.png?width=160","False"
"Skyy Moore","WR","43","#24 WR / Kansas City Chiefs / EXP: 2YRS","Kansas City Chiefs","5-10","195lbs","22","W. Michigan","https://sportshub.cbsistatic.com/i/sports/player/headshot/3126874.png?width=160","False"
"Ceedee Lamb","WR","7","#88 WR / Dallas Cowboys / EXP: 4YRS","Dallas Cowboys","6-2","197lbs","24","Oklahoma","https://sportshub.cbsistatic.com/i/sports/player/headshot/2865251.png?width=160","False"
"Rondale Moore","WR","59","#4 WR / Arizona Cardinals / EXP: 3YRS","Arizona Cardinals","5-7","180lbs","23","Purdue","https://sportshub.cbsistatic.com/i/sports/player/headshot/2968526.png?width=160","False"
"Dj Chark","WR","0","#17 WR / Carolina Panthers / EXP: 6YRS","Carolina Panthers","6-4","205lbs","26","LSU","https://sportshub.cbsistatic.com/i/sports/player/headshot/2131689.png?width=160","False"
"Dj Moore","WR","18","#2 WR / Chicago Bears / EXP: 6YRS","Chicago Bears","6-0","210lbs","26","Maryland","https://sportshub.cbsistatic.com/i/sports/player/headshot/2179328.png?width=160","False"
"Courtland Sutton","WR","48","#14 WR / Denver Broncos / EXP: 6YRS","Denver Broncos","6-4","216lbs","27","SMU","https://sportshub.cbsistatic.com/i/sports/player/headshot/2218461.png?width=160","False"
"Marvin Mims","WR","0","#83 WR / Denver Broncos / EXP: YRS","Denver Broncos","5-11","182lbs","21","Oklahoma","https://sportshub.cbsistatic.com/i/sports/player/headshot/3162586.png?width=160","False"
"Jerry Jeudy","WR","36","#10 WR / Denver Broncos / EXP: 4YRS","Denver Broncos","6-1","193lbs","24","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2741201.png?width=160","False"
"Aj Brown","WR","6","#11 WR / Philadelphia Eagles / EXP: 5YRS","Philadelphia Eagles","6-1","226lbs","26","Ole Miss","https://sportshub.cbsistatic.com/i/sports/player/headshot/2258303.png?width=160","False"
"Jordan Addison","WR","0","#3 WR / Minnesota Vikings / EXP: YRS","Minnesota Vikings","6-0","175lbs","23","USC","https://sportshub.cbsistatic.com/i/sports/player/headshot/3162290.png?width=160","False"
"Rashod Bateman","WR","51","#7 WR / Baltimore Ravens / EXP: 3YRS","Baltimore Ravens","6-1","197lbs","23","Minnesota","https://sportshub.cbsistatic.com/i/sports/player/headshot/2960940.png?width=160","False"
"Tyreek Hill","WR","3","#10 WR / Miami Dolphins / EXP: 8YRS","Miami Dolphins","5-10","191lbs","29","W. Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2131163.png?width=160","False"
"Jaylen Waddle","WR","11","#17 WR / Miami Dolphins / EXP: 3YRS","Miami Dolphins","5-10","185lbs","24","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2962110.png?width=160","False"
"Mike Evans","WR","31","#13 WR / Tampa Bay Buccaneers / EXP: 10YRS","Tampa Bay Buccaneers","6-5","231lbs","30","Texas A&amp;M","https://sportshub.cbsistatic.com/i/sports/player/headshot/1824909.png?width=160","False"
"Michael Thomas","WR","37","#13 WR / New Orleans Saints / EXP: 8YRS","New Orleans Saints","6-3","212lbs","30","Ohio State","https://sportshub.cbsistatic.com/i/sports/player/headshot/1983802.png?width=160","False"
